id_pedido,id_cliente,data,status,valor,itens,frete
55,345,2024-12-20,enviado,4085.65,1,17.37
56,404,2024-08-28,enviado,2888.06,9,1.86
57,205,2024-11-24,enviado,3361.89,1,10.8
58,93,2024-01-21,entregue,539.08,7,40.09
59,374,2024-08-28,entregue,1825.02,6,17.62
60,495,2024-04-09,enviado,3929.36,6,22.91
61,326,2024-05-25,entregue,1086.44,9,32.41
62,380,2024-07-25,entregue,3915.79,3,42.24
63,439,2024-02-11,entregue,3101.19,4,15.83
64,157,2024-02-24,entregue,3215.29,6,31.09
65,328,2024-03-25,enviado,1050.64,8,17.53
66,413,2024-08-12,entregue,4798.58,6,0.8
67,98,2024-10-10,cancelado,3516.13,9,14.81
68,287,2024-09-06,enviado,3111.43,2,9.93
69,47,2024-12-20,processando,2052.95,5,7.29
70,175,2024-09-12,enviado,708.51,7,5.18
71,490,2024-12-27,entregue,3086.43,2,16.19
72,116,2024-08-27,entregue,1267.22,3,33.38
73,141,2024-01-16,entregue,4174.58,4,12.27
74,116,2024-08-21,entregue,769.61,5,12.18
75,11,2024-10-16,enviado,2101.9,9,49.92
76,99,2024-07-06,cancelado,2925.43,10,44.43
77,199,2024-12-09,processando,3994.15,6,40.17
78,135,2024-07-12,entregue,4505.26,4,16.01
79,183,2024-02-23,entregue,1642.23,4,39.78
80,297,2024-03-04,cancelado,3556.35,9,15.67
81,414,2024-10-08,processando,1774.3,9,41.05
82,115,2024-08-09,cancelado,4191.24,8,30.94
83,255,2024-10-14,entregue,4768.16,3,1.11
84,230,2024-09-21,entregue,4484.42,8,43.38
85,76,2024-02-22,entregue,373.79,5,28.49
86,486,2024-12-01,processando,3008.81,7,35.21
87,483,2024-03-13,entregue,3325.91,5,26.92
88,346,2024-05-11,entregue,2870.79,9,47.31
89,74,2024-09-22,cancelado,1606.57,1,48.54
90,28,2024-12-25,entregue,2957.87,2,30.69
91,272,2024-07-24,entregue,3676.15,4,48.99
92,397,2024-03-27,entregue,195.96,8,36.43
93,170,2024-02-04,enviado,2891.31,7,40.25
94,196,2024-12-16,entregue,4243.96,3,4.79
95,182,2024-03-23,enviado,4401.37,8,4.54
96,134,2024-07-07,entregue,1788.44,2,16.99
97,385,2024-02-17,entregue,150.98,10,3.05
98,286,2024-01-22,entregue,522.68,1,48.18
99,271,2024-01-01,entregue,1954.53,1,40.0
100,291,2024-10-12,entregue,4780.77,4,31.82
101,256,2024-03-18,entregue,4880.08,2,43.6
102,468,2024-03-20,entregue,2891.23,8,35.32
103,451,2024-03-17,entregue,4081.09,8,1.52
104,20,2024-09-26,entregue,4045.66,5,46.75
105,56,2024-06-22,entregue,2971.03,3,45.01
106,255,2024-04-20,entregue,4986.84,6,46.89
107,476,2024-11-18,enviado,3931.11,2,33.44
108,34,2024-06-08,entregue,749.84,8,9.42
109,207,2024-01-12,entregue,4587.22,8,40.55
110,466,2024-11-23,cancelado,538.96,9,4.55
111,336,2024-06-17,cancelado,2896.68,9,26.08
112,388,2024-09-21,entregue,1448.68,3,22.4
113,102,2024-05-21,enviado,2050.98,7,4.12
114,13,2024-08-04,entregue,2828.2,10,19.44
115,255,2024-05-25,processando,3509.56,9,41.56
116,97,2024-02-10,cancelado,3751.86,10,27.14
117,329,2024-06-24,entregue,2694.75,1,48.34
118,198,2024-04-12,cancelado,309.55,7,36.93
119,269,2024-03-17,entregue,3421.61,1,45.53
120,51,2024-08-06,entregue,3576.43,2,35.7
121,254,2024-04-19,processando,3084.43,1,46.1
122,106,2024-12-04,entregue,73.46,4,32.98
123,469,2024-06-06,enviado,4141.53,6,45.88
124,206,2024-01-05,entregue,3013.82,10,33.43
125,452,2024-07-22,cancelado,3565.35,5,10.24
126,450,2024-11-24,entregue,2075.56,1,20.79
127,212,2024-07-09,entregue,4092.79,8,12.67
128,6,2024-11-23,enviado,256.91,8,6.44
129,354,2024-04-03,processando,616.18,3,45.11
130,251,2024-02-06,cancelado,1670.52,5,47.77
131,367,2024-12-13,entregue,2704.49,5,42.78
132,134,2024-02-25,entregue,2004.79,4,47.51
133,285,2024-08-07,entregue,2615.22,1,23.45
134,56,2024-02-08,entregue,4173.82,3,4.18
135,356,2024-02-08,enviado,3095.84,8,36.92
136,227,2024-10-25,entregue,3331.24,9,38.34
137,97,2024-04-24,entregue,266.6,1,47.43
138,175,2024-05-06,entregue,2337.08,1,19.57
139,79,2024-05-17,entregue,1164.92,4,16.79
140,370,2024-08-01,enviado,393.45,4,30.08
141,148,2024-09-06,entregue,2758.26,6,2.84
142,351,2024-02-14,cancelado,2694.66,10,36.02
143,371,2024-06-12,entregue,760.26,2,34.22
144,4,2024-07-01,cancelado,339.17,7,38.43
145,62,2024-04-25,processando,224.22,9,3.7
146,333,2024-08-19,processando,1960.97,10,19.34
147,467,2024-12-08,processando,2478.28,5,17.26
148,326,2024-08-16,entregue,2298.4,6,11.19
149,147,2024-11-24,entregue,4817.05,7,49.96
150,452,2024-03-12,processando,153.64,5,7.2
151,236,2024-07-23,cancelado,4265.83,7,6.25
152,321,2024-06-07,enviado,2134.65,7,23.03
153,232,2024-08-13,enviado,1849.62,6,33.27
154,69,2024-12-17,entregue,1267.74,4,28.42
155,486,2024-12-22,cancelado,1848.9,8,27.41
156,392,2024-07-12,processando,1569.15,7,7.07
157,56,2024-09-21,enviado,1536.59,10,20.61
158,103,2024-04-11,cancelado,4455.13,7,46.86
159,222,2024-03-15,entregue,3485.15,7,28.37
160,89,2024-05-24,processando,2838.65,3,32.06
161,295,2024-04-05,enviado,1616.63,4,43.4
162,67,2024-08-11,cancelado,4668.45,10,26.53
163,322,2024-01-22,entregue,3945.46,2,1.07
164,472,2024-01-11,entregue,1600.8,6,10.15
165,78,2024-04-10,entregue,1846.55,6,29.17
166,425,2024-08-16,entregue,3532.84,5,15.16
167,411,2024-09-06,entregue,858.12,2,26.62
168,317,2024-07-06,cancelado,2783.99,8,34.99
169,144,2024-12-28,entregue,4881.82,3,45.46
170,50,2024-01-05,enviado,2390.42,8,8.52
171,11,2024-10-23,entregue,4658.16,10,28.6
172,230,2024-01-16,processando,2855.58,6,49.39
173,454,2024-06-03,entregue,717.97,5,33.87
174,470,2024-03-04,processando,1025.8,6,14.62
175,406,2024-02-12,cancelado,4918.68,8,0.8
176,457,2024-10-14,entregue,1857.82,5,9.6
177,144,2024-09-01,enviado,1626.91,3,2.6
178,123,2024-12-10,entregue,2272.21,7,16.88
179,140,2024-12-25,processando,2317.53,2,16.65
180,17,2024-03-28,cancelado,102.86,10,0.96
181,195,2024-04-16,enviado,1972.57,5,34.84
182,172,2024-06-26,cancelado,4275.45,7,20.36
183,176,2024-03-12,processando,1344.86,4,24.44
184,137,2024-02-15,processando,469.74,6,43.07
185,459,2024-02-01,entregue,4040.82,2,12.15
186,91,2024-06-03,entregue,2880.95,4,38.94
187,443,2024-02-01,processando,116.56,6,43.51
188,317,2024-02-05,cancelado,3149.33,8,31.55
189,170,2024-11-04,cancelado,653.79,3,9.98
190,382,2024-02-06,entregue,3605.36,2,0.19
191,406,2024-11-08,entregue,297.49,2,19.35
192,321,2024-09-07,enviado,4096.88,8,30.27
193,96,2024-08-10,processando,3396.99,1,22.13
194,260,2024-01-03,entregue,4872.24,5,7.19
195,278,2024-10-07,processando,663.85,2,9.41
196,435,2024-06-25,entregue,854.0,10,14.84
197,212,2024-09-21,entregue,1130.38,5,41.22
198,377,2024-04-17,entregue,3291.47,5,14.07
199,83,2024-02-02,entregue,2494.92,1,30.99
200,419,2024-07-03,processando,3833.95,8,0.6
201,382,2024-11-03,entregue,2961.29,6,34.9
202,311,2024-11-03,cancelado,1349.06,6,22.54
203,381,2024-08-12,enviado,1536.22,8,15.67
204,382,2024-04-08,cancelado,894.24,6,20.49
205,451,2024-08-11,enviado,2344.94,8,22.61
206,73,2024-12-25,enviado,2127.01,1,43.67
207,404,2024-06-13,processando,789.45,6,0.7
208,406,2024-11-06,entregue,2985.04,3,10.85
209,9,2024-07-16,entregue,1390.91,4,1.08
210,201,2024-03-10,cancelado,1424.46,4,24.33
211,371,2024-08-14,enviado,4739.29,3,24.37
212,341,2024-01-12,entregue,381.19,6,35.3
213,312,2024-05-05,entregue,2617.88,8,40.18
214,214,2024-08-01,entregue,3175.97,6,31.52
215,351,2024-10-14,cancelado,653.14,3,26.48
216,175,2024-12-12,processando,4327.28,6,28.27
217,243,2024-02-01,enviado,1881.54,4,10.47
218,168,2024-12-08,entregue,3187.66,8,39.34
219,285,2024-06-19,entregue,3506.73,3,48.27
220,401,2024-11-19,entregue,3555.12,10,11.85
221,420,2024-04-16,cancelado,2375.28,1,15.67
222,451,2024-02-13,entregue,3136.85,2,26.46
223,237,2024-10-24,entregue,381.28,7,38.87
224,406,2024-05-23,entregue,1850.72,1,23.69
225,115,2024-11-01,entregue,1813.04,10,24.13
226,75,2024-05-11,enviado,4927.16,10,44.16
227,103,2024-11-07,cancelado,3045.15,5,36.67
228,377,2024-04-17,cancelado,1448.16,7,21.15
229,420,2024-01-10,entregue,1060.99,5,1.26
230,334,2024-11-25,enviado,439.61,8,38.79
231,76,2024-08-21,enviado,2798.56,10,22.21
232,161,2024-02-09,enviado,1415.95,10,22.67
233,84,2024-10-05,entregue,4782.72,2,2.62
234,168,2024-09-16,entregue,751.68,7,27.51
235,322,2024-07-21,entregue,2007.91,6,30.65
236,390,2024-01-21,entregue,1653.87,10,1.97
237,262,2024-01-24,processando,3582.64,8,3.19
238,35,2024-03-05,entregue,2637.76,4,4.59
239,185,2024-06-11,entregue,2092.58,2,24.62
240,280,2024-01-17,enviado,3227.0,7,34.73
241,281,2024-02-27,entregue,2270.07,2,38.14
242,445,2024-05-08,entregue,329.75,9,1.21
243,330,2024-12-08,enviado,259.85,4,37.93
244,487,2024-03-28,entregue,2527.89,6,19.38
245,325,2024-11-13,entregue,2575.72,5,24.61
246,343,2024-12-23,enviado,2772.65,1,10.01
247,19,2024-04-08,cancelado,2482.75,6,35.09
248,298,2024-06-17,entregue,2016.05,3,26.81
249,469,2024-11-24,cancelado,1443.01,9,18.72
250,199,2024-03-27,entregue,3783.15,5,16.72
251,168,2024-05-13,entregue,3269.79,8,1.44
252,309,2024-11-22,cancelado,3861.58,4,9.24
253,22,2024-07-26,entregue,3726.93,4,10.01
254,292,2024-12-24,entregue,4173.0,4,44.33
255,419,2024-05-12,enviado,319.12,4,28.34
256,453,2024-05-07,cancelado,167.87,1,10.82
257,93,2024-06-07,enviado,4736.64,7,36.0
258,235,2024-07-20,entregue,4608.05,8,28.04
259,147,2024-11-28,entregue,434.49,2,44.22
260,437,2024-01-20,entregue,4292.97,5,46.51
261,156,2024-08-13,processando,2862.15,3,4.86
262,189,2024-04-21,entregue,4856.15,6,3.8
263,214,2024-11-01,entregue,3863.7,2,15.1
264,135,2024-08-26,entregue,645.61,1,44.01
265,478,2024-08-06,entregue,607.3,4,22.76
266,454,2024-10-23,cancelado,1402.02,1,35.14
267,246,2024-02-24,processando,808.81,2,19.88
268,194,2024-01-02,enviado,2190.81,8,20.62
269,499,2024-01-19,entregue,3300.22,5,35.5
270,369,2024-08-07,entregue,170.84,5,48.16
271,97,2024-04-23,enviado,4061.25,1,43.68
272,428,2024-07-18,processando,2468.21,4,35.78
273,381,2024-01-10,entregue,487.66,6,22.81
274,242,2024-09-06,entregue,3310.08,6,36.31
275,277,2024-03-11,processando,3214.61,7,8.7
276,206,2024-06-15,entregue,3848.2,3,40.71
277,385,2024-08-22,cancelado,2068.74,7,4.32
278,130,2024-03-11,entregue,3245.05,8,37.69
279,442,2024-11-06,entregue,1750.1,3,29.94
280,277,2024-11-27,processando,839.17,10,6.98
281,418,2024-04-27,processando,2011.93,7,44.04
282,257,2024-09-02,cancelado,563.89,1,12.74
283,282,2024-11-06,processando,1172.57,6,24.46
284,167,2024-12-27,entregue,2764.83,7,26.16
285,420,2024-07-08,cancelado,1788.12,7,34.39
286,55,2024-04-21,processando,2295.59,4,35.81
287,458,2024-09-26,entregue,2501.25,2,34.75
288,157,2024-04-25,enviado,1549.15,4,27.1
289,50,2024-04-01,entregue,203.93,2,10.35
290,424,2024-11-03,entregue,1304.5,2,21.1
291,184,2024-11-13,entregue,3504.2,5,17.16
292,192,2024-04-10,enviado,3115.33,8,31.76
293,304,2024-01-22,enviado,4886.22,8,15.98
294,16,2024-05-23,enviado,4312.82,7,37.65
295,395,2024-02-14,processando,2956.27,6,47.46
296,351,2024-08-01,enviado,241.42,8,37.95
297,45,2024-08-09,cancelado,505.64,4,36.21
298,367,2024-11-04,enviado,1930.26,6,12.07
299,241,2024-01-11,entregue,2785.5,8,10.83
300,211,2024-02-01,processando,685.5,1,46.78
301,228,2024-02-17,entregue,2342.74,10,19.41
302,474,2024-09-21,processando,291.14,10,5.88
303,265,2024-08-06,enviado,1502.28,3,1.99
304,308,2024-06-14,entregue,3449.7,2,9.96
305,249,2024-04-01,enviado,3889.91,3,38.62
306,23,2024-05-06,entregue,1733.35,10,42.28
307,118,2024-12-15,processando,4742.8,2,5.08
308,72,2024-03-24,cancelado,2835.72,8,24.81
309,407,2024-12-14,entregue,3556.62,6,31.74
310,55,2024-07-16,entregue,1430.57,9,35.1
311,35,2024-02-03,entregue,4395.02,6,23.73
312,260,2024-04-05,entregue,169.34,2,28.52
313,341,2024-04-15,processando,4982.78,6,27.87
314,245,2024-02-26,processando,968.28,7,5.79
315,21,2024-04-07,entregue,1536.7,7,0.56
316,31,2024-09-26,entregue,608.13,5,29.28
317,5,2024-05-26,entregue,1631.67,4,43.03
318,411,2024-04-07,processando,2400.06,8,10.71
319,89,2024-07-18,processando,3153.8,2,7.31
320,66,2024-09-05,entregue,2414.56,2,28.31
321,127,2024-11-25,enviado,4206.87,6,46.88
322,424,2024-05-14,entregue,3774.24,1,43.53
323,400,2024-07-01,entregue,3374.7,6,19.54
324,311,2024-04-24,entregue,2422.86,9,44.44
325,331,2024-11-06,entregue,3014.95,5,24.86
326,39,2024-07-20,entregue,2115.72,9,4.24
327,457,2024-03-25,processando,247.75,5,19.66
328,238,2024-11-26,entregue,1552.31,9,30.26
329,471,2024-05-28,enviado,2581.63,7,37.87
330,430,2024-12-19,processando,2822.93,10,29.97
331,403,2024-10-05,enviado,1718.52,8,48.76
332,273,2024-09-20,processando,361.53,5,46.71
333,448,2024-05-20,cancelado,1177.82,6,45.36
334,290,2024-04-12,entregue,999.64,6,25.88
335,211,2024-05-09,cancelado,2148.05,4,38.42
336,456,2024-03-26,processando,1510.33,6,35.63
337,284,2024-06-07,enviado,2929.66,3,5.86
338,371,2024-05-21,entregue,1068.38,6,9.15
339,332,2024-08-12,entregue,1988.57,5,46.62
340,236,2024-09-11,entregue,1310.89,2,12.63
341,495,2024-07-27,cancelado,4920.14,1,3.33
342,416,2024-05-16,enviado,4677.02,9,29.18
343,142,2024-09-19,enviado,1035.99,1,49.08
344,322,2024-08-20,entregue,2408.02,7,15.66
345,72,2024-03-04,entregue,3812.62,1,2.05
346,36,2024-05-04,cancelado,2699.35,3,39.19
347,474,2024-12-22,enviado,1064.22,10,2.99
348,58,2024-06-20,processando,1422.01,7,12.03
349,113,2024-10-20,cancelado,3771.05,9,17.68
350,122,2024-03-01,cancelado,2941.39,4,8.59
351,495,2024-07-07,cancelado,3100.67,3,4.56
352,380,2024-10-09,enviado,666.59,4,42.27
353,114,2024-04-15,cancelado,869.93,3,45.88
354,144,2024-02-01,entregue,3372.25,7,28.98
355,308,2024-07-15,entregue,1199.29,2,20.43
356,228,2024-08-05,processando,4446.19,10,37.53
357,12,2024-09-25,entregue,1065.39,8,21.83
358,449,2024-09-11,entregue,152.54,9,30.78
359,430,2024-08-20,entregue,1896.16,2,30.05
360,358,2024-11-13,entregue,3950.95,4,10.9
361,181,2024-07-09,entregue,3588.92,4,18.97
362,450,2024-08-01,processando,4679.56,4,32.27
363,34,2024-08-23,entregue,1974.91,6,17.98
364,11,2024-08-14,processando,2254.37,7,4.47
365,131,2024-06-08,entregue,1864.64,5,23.93
366,87,2024-04-28,cancelado,3242.79,10,26.55
367,101,2024-01-13,entregue,287.49,4,4.5
368,469,2024-03-03,cancelado,3491.8,1,12.52
369,269,2024-05-15,entregue,1501.11,7,13.93
370,469,2024-03-08,enviado,1592.41,9,3.34
371,447,2024-02-20,entregue,2884.41,3,14.41
372,241,2024-07-06,entregue,135.05,4,30.13
373,40,2024-02-25,entregue,1381.77,3,26.7
374,399,2024-08-18,entregue,3629.88,3,26.68
375,96,2024-04-26,entregue,1661.12,3,38.32
376,263,2024-01-17,cancelado,4479.45,7,6.75
377,25,2024-08-05,entregue,1247.53,10,41.71
378,294,2024-05-15,entregue,2301.97,2,35.67
379,83,2024-11-20,entregue,382.02,7,6.8
380,148,2024-08-17,enviado,3403.75,7,27.52
381,372,2024-07-17,enviado,4812.42,9,17.7
382,311,2024-10-23,processando,2055.73,5,26.17
383,209,2024-03-17,enviado,674.89,1,10.34
384,308,2024-06-27,entregue,621.9,7,19.13
385,154,2024-06-01,entregue,2461.75,1,10.78
386,397,2024-11-25,entregue,2277.21,10,39.53
387,384,2024-03-21,entregue,2011.99,3,0.82
388,117,2024-08-09,enviado,2026.23,8,18.58
389,105,2024-08-05,enviado,4800.11,4,47.39
390,460,2024-11-04,entregue,1901.48,6,23.25
391,198,2024-11-28,enviado,436.71,5,17.74
392,263,2024-09-16,entregue,4673.19,8,3.39
393,170,2024-04-10,cancelado,871.43,2,7.3
394,365,2024-09-09,entregue,172.18,4,31.53
395,191,2024-01-15,enviado,1703.5,10,23.01
396,319,2024-06-10,entregue,302.04,9,29.28
397,453,2024-08-25,enviado,2195.37,9,1.81
398,400,2024-09-24,processando,2853.44,2,49.93
399,79,2024-07-11,processando,3585.64,5,7.2
400,391,2024-04-03,cancelado,1950.25,7,11.01
401,23,2024-05-01,entregue,1012.74,10,9.68
402,410,2024-03-14,cancelado,2862.52,4,0.03
403,34,2024-03-28,entregue,1364.26,8,39.35
404,113,2024-08-06,processando,2492.74,2,33.47
405,416,2024-06-20,processando,4898.32,8,47.78
406,133,2024-10-18,cancelado,4451.39,6,31.58
407,168,2024-09-05,processando,3425.69,10,26.0
408,143,2024-10-25,entregue,1169.68,1,21.69
409,140,2024-06-17,entregue,2519.43,7,2.56
410,303,2024-05-26,entregue,577.16,3,27.75
411,433,2024-04-08,enviado,4530.61,2,34.87
412,259,2024-06-14,processando,2029.26,10,16.56
413,42,2024-04-06,cancelado,2431.81,2,38.75
414,475,2024-01-14,enviado,4084.55,3,20.71
415,16,2024-06-12,entregue,1574.64,8,43.96
416,252,2024-07-19,entregue,2056.32,4,14.32
417,313,2024-03-11,entregue,3010.01,10,18.84
418,43,2024-02-03,entregue,3991.16,1,7.5
419,220,2024-08-03,processando,3257.45,1,0.1
420,91,2024-01-05,entregue,4919.32,6,33.94
421,471,2024-12-12,processando,2881.39,1,8.26
422,159,2024-06-04,entregue,4981.76,2,49.41
423,315,2024-01-27,entregue,3958.24,7,41.21
424,252,2024-02-09,cancelado,1492.57,9,3.58
425,314,2024-05-05,entregue,2338.57,5,7.87
426,398,2024-12-17,entregue,2507.26,4,34.45
427,17,2024-07-28,entregue,3341.79,8,40.51
428,184,2024-09-10,entregue,3284.77,7,20.9
429,477,2024-04-26,entregue,3347.96,4,12.03
430,77,2024-12-05,entregue,443.29,10,43.76
431,76,2024-02-15,entregue,789.17,2,14.12
432,171,2024-12-11,cancelado,1234.31,8,21.77
433,63,2024-11-22,processando,2783.0,10,15.13
434,364,2024-04-16,processando,217.49,3,19.54
435,177,2024-02-02,entregue,4213.55,5,19.48
436,417,2024-08-15,processando,4834.44,6,22.48
437,418,2024-06-24,processando,2140.62,6,47.9
438,385,2024-10-28,processando,960.61,3,47.71
439,213,2024-02-16,entregue,783.43,3,12.0
440,310,2024-08-09,entregue,3617.88,7,1.92
441,5,2024-11-12,processando,1747.67,10,18.65
442,2,2024-02-16,cancelado,1048.48,3,16.63
443,338,2024-12-24,cancelado,1403.56,7,44.48
444,303,2024-10-20,entregue,2202.94,1,22.75
445,369,2024-10-18,entregue,2717.02,8,2.23
446,171,2024-01-14,cancelado,3153.86,2,23.73
447,450,2024-07-15,cancelado,2880.89,6,41.74
448,115,2024-08-09,entregue,4462.99,1,40.84
449,343,2024-10-09,enviado,1363.56,9,11.46
450,114,2024-08-08,enviado,61.14,1,47.93
451,411,2024-05-18,cancelado,4702.59,1,25.09
452,488,2024-12-26,processando,3950.57,10,33.17
453,255,2024-10-07,cancelado,3323.38,5,38.98
454,438,2024-04-13,cancelado,3642.32,3,27.25
455,103,2024-01-22,enviado,444.4,4,47.33
456,11,2024-02-05,processando,3668.53,3,32.87
457,344,2024-05-14,entregue,4534.47,4,36.46
458,186,2024-02-25,entregue,1581.99,9,34.58
459,328,2024-02-03,entregue,4372.44,1,47.68
460,34,2024-05-06,entregue,3836.26,6,6.07
461,393,2024-09-15,cancelado,654.38,10,13.92
462,43,2024-06-26,entregue,1798.54,7,40.33
463,280,2024-05-24,entregue,4559.05,10,40.22
464,407,2024-02-03,entregue,771.77,3,26.1
465,354,2024-09-07,enviado,4956.01,6,1.49
466,437,2024-07-26,enviado,562.67,9,38.79
467,207,2024-04-06,entregue,3124.32,8,38.67
468,383,2024-12-03,processando,1172.42,8,27.87
469,235,2024-07-11,processando,1875.91,1,1.82
470,97,2024-01-19,entregue,134.75,6,32.44
471,213,2024-12-27,entregue,4849.44,8,4.26
472,432,2024-02-20,cancelado,2828.99,2,29.64
473,243,2024-08-18,cancelado,3643.22,6,5.99
474,416,2024-01-26,processando,1619.48,5,26.85
475,218,2024-05-02,entregue,321.82,5,33.24
476,71,2024-12-09,enviado,4996.44,5,17.0
477,211,2024-02-17,entregue,421.8,5,36.93
478,209,2024-01-01,entregue,1672.38,2,43.48
479,477,2024-09-20,cancelado,4265.27,6,5.67
480,500,2024-05-25,entregue,1625.64,2,9.13
481,109,2024-10-26,entregue,1196.02,5,15.57
482,390,2024-09-25,cancelado,4569.22,2,40.58
483,282,2024-10-28,processando,2753.02,9,32.89
484,52,2024-07-25,entregue,1593.87,7,4.65
485,171,2024-05-24,entregue,727.61,2,47.45
486,302,2024-01-04,enviado,260.5,6,20.3
487,55,2024-05-06,cancelado,4701.3,4,4.1
488,87,2024-03-21,cancelado,3518.45,2,31.54
489,9,2024-08-07,processando,3555.4,3,36.89
490,421,2024-11-17,entregue,4948.75,1,34.07
491,449,2024-05-19,processando,3892.5,4,24.63
492,122,2024-01-14,entregue,3085.63,7,9.62
493,271,2024-05-12,entregue,2052.38,10,20.58
494,297,2024-05-09,entregue,3101.1,2,35.35
495,131,2024-11-20,enviado,57.19,2,20.28
496,98,2024-12-09,processando,684.55,3,40.72
497,298,2024-02-22,entregue,705.62,1,11.54
498,128,2024-12-02,processando,407.39,7,6.65
499,112,2024-05-04,cancelado,63.95,4,35.86
500,425,2024-12-01,enviado,579.42,4,22.35
501,76,2024-12-21,entregue,4350.57,6,48.86
502,194,2024-11-17,processando,1411.57,4,42.89
503,75,2024-04-13,entregue,980.6,4,24.5
504,486,2024-05-14,entregue,1297.95,7,23.18
505,32,2024-01-24,enviado,2645.2,4,20.67
506,452,2024-05-05,entregue,1432.67,7,38.45
507,243,2024-09-03,cancelado,2299.42,5,32.21
508,231,2024-04-23,entregue,4205.37,7,13.48
509,246,2024-04-15,entregue,134.87,4,32.26
510,197,2024-04-18,cancelado,3227.35,3,5.49
511,370,2024-06-17,entregue,3465.04,5,43.1
512,265,2024-05-24,enviado,150.48,10,47.86
513,55,2024-04-10,entregue,4058.07,9,42.79
514,295,2024-09-06,processando,2510.33,9,0.17
515,491,2024-01-11,processando,3859.95,7,28.4
516,1,2024-08-07,entregue,586.91,5,36.04
517,218,2024-05-23,entregue,2951.65,7,33.49
518,492,2024-10-19,cancelado,1816.59,7,23.59
519,101,2024-04-11,entregue,4296.09,6,23.57
520,124,2024-09-11,enviado,1176.51,9,0.82
521,40,2024-02-19,entregue,1194.96,1,10.25
522,212,2024-09-24,entregue,557.95,9,22.06
523,70,2024-04-24,entregue,1131.43,2,1.83
524,6,2024-10-14,entregue,4957.01,10,44.49
525,458,2024-04-03,entregue,4621.66,10,5.94
526,413,2024-05-26,cancelado,2707.61,4,2.21
527,353,2024-05-18,entregue,3303.62,1,46.31
528,251,2024-04-26,enviado,4442.97,2,4.44
529,299,2024-04-19,entregue,50.46,6,46.73
530,386,2024-08-18,processando,863.26,2,49.04
531,293,2024-01-22,entregue,1003.1,3,11.71
532,24,2024-12-06,entregue,4145.02,4,6.63
533,236,2024-01-22,enviado,1166.84,3,1.57
534,372,2024-12-07,entregue,3154.3,5,41.74
535,222,2024-03-23,entregue,4176.42,3,23.69
536,4,2024-03-12,entregue,2688.5,7,5.43
537,392,2024-03-07,entregue,811.01,2,21.73
538,359,2024-03-09,processando,2625.3,9,44.19
539,272,2024-10-19,entregue,4437.62,3,41.44
540,305,2024-09-22,cancelado,1117.16,8,21.24
