id_venda,data,id_cliente,id_produto,quantidade,preco_unitario,total,canal
126,2023-05-10,234,12,3,899.07,2697.2,marketplace
127,2023-06-16,184,13,5,164.93,824.65,loja
128,2024-01-08,115,12,2,91.62,183.24,loja
129,2023-02-12,365,11,2,389.02,778.04,loja
130,2023-10-02,339,2,4,69.95,279.8,loja
131,2024-07-04,281,5,1,62.73,62.73,online
132,2023-05-14,339,2,2,3299.7,6599.39,marketplace
133,2023-07-27,461,2,3,141.07,423.21,marketplace
134,2023-08-07,312,4,5,31.28,156.4,online
135,2024-05-06,21,9,5,3299.36,16496.79,online
136,2024-04-01,7,11,2,364.32,728.64,loja
137,2024-03-03,400,9,1,54.39,54.39,loja
138,2023-08-10,136,8,1,98.26,98.26,loja
139,2023-05-12,411,11,1,30.46,30.46,online
140,2023-01-28,71,11,4,62.77,251.08,loja
141,2024-12-03,191,14,3,249.89,749.68,online
142,2024-05-27,198,12,2,35.99,71.98,online
143,2023-02-05,357,12,4,25.23,100.92,loja
144,2024-10-22,225,3,2,60.32,120.63,marketplace
145,2023-11-27,373,15,4,173.84,695.36,loja
146,2024-08-02,33,5,4,58.07,232.28,online
147,2023-11-28,174,9,1,389.87,389.87,marketplace
148,2023-08-12,340,11,5,37.27,186.35,online
149,2023-01-21,479,3,2,69.5,139.0,marketplace
150,2023-02-25,252,6,4,80.4,321.58,loja
151,2023-09-21,194,7,3,29.06,87.18,loja
152,2024-02-28,256,8,1,588.12,588.12,online
153,2023-02-13,212,1,1,1299.75,1299.75,marketplace
154,2024-09-18,106,11,5,110.77,553.85,online
155,2023-08-11,287,13,3,209.0,627.0,marketplace
156,2024-12-15,59,2,5,1299.72,6498.58,loja
157,2024-09-17,192,12,1,101.33,101.33,loja
158,2023-12-24,370,7,1,32.8,32.8,loja
159,2023-07-07,235,14,3,220.1,660.29,loja
160,2023-11-27,345,10,3,50.21,150.63,loja
161,2023-08-01,272,12,4,862.17,3448.68,loja
162,2024-09-25,472,15,5,98.43,492.16,loja
163,2023-02-13,337,10,5,662.1,3310.5,marketplace
164,2024-10-23,391,4,3,398.12,1194.36,online
165,2024-03-05,212,10,4,249.97,999.88,marketplace
166,2024-12-24,479,9,3,62.02,186.06,loja
167,2024-11-12,472,11,2,2066.65,4133.3,loja
168,2024-12-04,390,6,2,449.54,899.08,marketplace
169,2024-11-24,458,14,4,134.07,536.28,marketplace
170,2023-09-04,13,7,3,86.09,258.27,loja
171,2024-03-10,350,5,1,25.96,25.96,loja
172,2023-09-02,184,14,1,309.43,309.43,online
173,2023-12-21,288,7,1,193.52,193.52,loja
174,2024-12-22,25,15,5,449.8,2248.98,online
175,2024-09-02,7,12,4,526.1,2104.4,online
176,2024-04-21,361,12,2,193.68,387.36,online
177,2023-12-07,151,8,5,449.74,2248.69,loja
178,2023-07-02,220,5,1,866.02,866.02,marketplace
179,2024-01-11,239,12,3,161.46,484.38,loja
180,2023-11-20,432,11,1,899.93,899.93,online
181,2024-02-26,363,6,4,265.68,1062.72,marketplace
182,2023-07-18,275,7,2,477.61,955.22,loja
183,2024-06-12,151,4,3,3299.88,9899.65,marketplace
184,2023-02-22,178,8,5,1294.69,6473.45,loja
185,2023-11-11,196,15,5,68.45,342.25,loja
186,2024-01-17,421,13,4,200.44,801.76,online
187,2024-01-10,460,11,5,238.25,1191.25,loja
188,2023-03-25,276,9,3,55.33,165.99,loja
189,2023-11-14,428,2,1,3299.67,3299.67,loja
190,2024-11-27,482,2,5,62.09,310.45,loja
191,2023-02-03,28,3,1,936.87,936.87,online
192,2023-05-14,199,8,5,60.47,302.37,online
193,2023-09-01,329,12,4,23.87,95.48,marketplace
194,2023-12-28,38,6,1,340.01,340.01,marketplace
195,2024-10-03,145,13,1,200.69,200.69,online
196,2023-08-06,274,4,4,454.9,1819.6,loja
197,2024-11-05,153,11,4,362.12,1448.48,online
198,2023-02-02,3,10,1,449.87,449.87,marketplace
199,2023-05-07,384,12,4,254.89,1019.56,online
200,2023-03-06,114,10,2,499.08,998.16,online
201,2023-09-15,331,9,2,60.08,120.16,loja
202,2023-04-24,298,8,3,20.4,61.2,online
203,2023-02-10,318,2,3,610.07,1830.21,loja
204,2024-12-19,79,10,3,1299.45,3898.35,marketplace
205,2024-03-01,161,4,3,155.71,467.13,loja
206,2023-11-24,170,15,4,171.14,684.56,online
207,2024-08-18,56,3,4,1299.36,5197.43,marketplace
208,2023-09-07,135,12,1,36.81,36.81,loja
209,2023-10-19,208,13,1,21.45,21.45,marketplace
210,2024-09-18,242,11,2,98.04,196.07,loja
211,2024-03-15,257,9,3,138.13,414.39,loja
212,2023-10-22,85,13,4,135.0,540.0,marketplace
213,2023-12-24,248,6,2,1299.16,2598.32,loja
214,2023-05-12,120,1,2,229.2,458.4,loja
215,2024-08-15,452,1,5,81.73,408.65,loja
216,2024-12-09,297,9,3,60.6,181.81,marketplace
217,2024-10-21,460,14,2,365.79,731.58,loja
218,2023-09-13,181,14,5,87.7,438.5,online
219,2023-09-05,226,3,4,449.48,1797.93,loja
220,2023-03-06,81,6,1,296.05,296.05,marketplace
221,2024-12-04,247,11,1,21.36,21.36,online
222,2024-01-08,23,3,4,3299.59,13198.36,marketplace
223,2023-10-05,29,3,5,138.42,692.1,online
224,2023-12-24,339,14,2,431.08,862.16,online
225,2024-08-06,113,14,1,3299.45,3299.45,online
226,2023-10-22,262,5,5,718.47,3592.35,loja
227,2023-04-13,198,3,3,55.37,166.11,loja
228,2024-03-20,50,3,1,3299.52,3299.52,online
229,2023-02-16,338,3,5,27.8,139.0,marketplace
230,2024-09-14,190,14,5,20.07,100.35,loja
231,2024-07-12,302,13,5,549.23,2746.15,marketplace
232,2024-04-28,43,5,1,90.82,90.82,marketplace
233,2023-12-24,405,1,5,156.38,781.9,marketplace
234,2024-11-07,353,13,5,60.42,302.1,online
235,2024-11-19,130,5,4,44.41,177.64,marketplace
236,2024-11-13,387,4,4,93.09,372.36,online
237,2023-06-18,285,8,5,449.56,2247.79,online
238,2024-12-05,438,14,3,88.84,266.52,loja
239,2023-02-07,261,7,2,1021.6,2043.2,online
240,2023-03-13,494,11,5,220.6,1102.99,loja
241,2024-02-03,135,4,1,28.71,28.71,online
242,2024-07-20,336,9,1,27.55,27.55,online
243,2023-11-16,225,1,5,130.85,654.23,loja
244,2023-10-06,346,1,5,55.03,275.15,online
245,2023-02-09,400,7,2,20.0,40.0,online
246,2023-12-23,36,15,4,549.59,2198.34,loja
247,2024-06-27,142,4,5,150.63,753.15,marketplace
248,2023-05-06,209,9,2,1209.1,2418.2,loja
249,2024-02-26,263,5,5,60.4,302.02,marketplace
250,2024-10-16,395,4,5,144.89,724.45,online
251,2023-08-04,133,2,4,22.72,90.88,online
252,2024-07-12,265,9,2,26.6,53.2,loja
253,2024-11-24,421,6,3,962.02,2886.06,loja
254,2024-06-07,458,10,5,33.92,169.6,online
255,2023-08-24,103,4,2,389.68,779.37,loja
256,2023-10-12,80,13,3,771.57,2314.71,loja
257,2024-10-01,392,14,1,26.12,26.12,marketplace
258,2024-08-19,445,5,1,80.38,80.38,online
259,2024-07-08,385,10,2,412.97,825.94,loja
260,2024-09-02,258,6,1,362.89,362.89,online
261,2024-06-23,5,1,2,1299.98,2599.95,loja
262,2024-10-28,133,3,4,40.14,160.56,marketplace
263,2024-06-06,256,7,3,903.39,2710.17,loja
264,2024-07-09,231,3,4,389.75,1559.01,marketplace
265,2023-12-09,412,4,2,157.13,314.26,marketplace
266,2023-12-05,243,13,4,42.81,171.24,loja
267,2024-08-10,129,9,2,549.5,1099.0,marketplace
268,2023-01-07,417,5,1,72.36,72.36,online
269,2024-06-12,287,9,1,972.33,972.33,online
270,2024-11-20,102,10,3,130.31,390.94,marketplace
271,2024-06-11,345,9,5,880.87,4404.35,online
272,2024-08-21,490,3,4,26.12,104.48,loja
273,2024-02-03,83,6,3,549.63,1648.89,loja
274,2024-10-21,203,5,3,169.54,508.62,online
275,2024-07-06,95,14,3,236.57,709.71,loja
276,2024-12-23,384,2,2,389.23,778.47,loja
277,2023-08-18,28,1,2,74.49,148.98,online
278,2023-05-20,80,2,5,447.29,2236.45,online
279,2024-08-21,65,3,3,3299.25,9897.74,marketplace
280,2024-06-28,244,8,2,23.86,47.72,marketplace
281,2023-10-20,234,11,3,210.84,632.52,marketplace
282,2024-06-16,277,4,4,449.64,1798.56,loja
283,2024-03-10,6,1,4,85.8,343.2,marketplace
284,2023-12-16,485,13,2,85.67,171.34,online
285,2024-10-08,408,1,3,130.67,392.0,marketplace
286,2024-07-08,84,12,3,1370.08,4110.24,online
287,2024-11-08,265,13,4,882.31,3529.24,marketplace
288,2024-07-07,437,2,3,200.55,601.65,loja
289,2024-10-15,140,12,2,39.85,79.7,marketplace
290,2023-01-18,12,3,4,1071.39,4285.56,loja
291,2024-12-01,120,2,3,200.03,600.08,loja
292,2024-05-26,410,8,1,297.78,297.78,online
293,2024-02-27,385,3,4,312.04,1248.16,loja
294,2024-03-07,459,14,3,449.39,1348.18,online
295,2023-07-25,500,8,4,20.76,83.04,loja
296,2023-09-22,107,8,1,1531.08,1531.08,online
297,2023-12-18,267,2,3,98.32,294.97,online
298,2024-01-28,342,4,4,21.76,87.04,loja
299,2023-03-26,142,10,2,22.56,45.12,loja
300,2023-10-26,354,8,4,449.24,1796.97,marketplace
301,2023-03-16,47,11,2,196.51,393.02,marketplace
302,2023-01-12,331,3,3,95.63,286.89,marketplace
303,2024-09-26,331,13,1,899.49,899.49,online
304,2024-06-24,69,5,4,91.2,364.8,loja
305,2024-09-23,251,4,4,181.44,725.76,marketplace
306,2024-05-28,426,10,2,449.35,898.7,marketplace
307,2024-05-27,135,9,2,41.19,82.38,online
308,2024-12-06,453,1,4,105.27,421.08,marketplace
309,2024-12-03,338,9,3,449.62,1348.86,online
310,2023-10-10,166,7,2,313.1,626.2,online
311,2023-01-27,481,3,1,40.88,40.88,loja
312,2023-02-02,293,11,1,3299.11,3299.11,online
313,2024-01-12,114,10,4,287.68,1150.72,loja
314,2024-02-15,411,11,1,91.84,91.84,loja
315,2024-06-26,363,1,3,449.74,1349.23,marketplace
316,2023-05-03,484,4,3,37.44,112.32,marketplace
317,2024-04-07,270,11,1,48.93,48.93,loja
318,2024-12-04,393,11,5,26.85,134.24,marketplace
319,2024-02-06,406,3,3,22.71,68.13,marketplace
320,2023-09-20,227,15,4,164.79,659.16,online
321,2024-06-14,392,11,3,449.99,1349.97,online
322,2023-07-25,282,15,3,68.12,204.36,online
323,2024-01-24,18,5,3,592.35,1777.05,marketplace
324,2024-01-10,114,4,1,449.14,449.14,online
325,2024-09-17,285,10,1,372.61,372.61,marketplace
326,2024-03-05,136,6,2,21.51,43.02,marketplace
327,2024-02-19,205,10,2,3299.26,6598.51,loja
328,2024-03-16,423,15,1,139.81,139.81,marketplace
329,2023-12-26,296,7,1,148.39,148.39,loja
330,2024-07-14,477,14,1,98.77,98.77,loja
331,2023-11-25,324,7,2,260.88,521.76,loja
332,2023-06-17,358,4,3,37.67,113.01,loja
333,2024-08-25,305,10,1,26.63,26.63,marketplace
334,2024-03-05,173,2,1,1436.32,1436.32,online
335,2024-05-03,205,9,5,38.2,191.0,online
336,2023-08-13,334,10,2,449.13,898.27,loja
337,2023-04-03,137,13,5,219.32,1096.6,online
338,2023-02-22,212,7,3,25.45,76.35,online
339,2023-05-06,180,10,3,3299.32,9897.96,online
340,2023-04-22,192,3,5,407.17,2035.85,loja
341,2023-05-01,176,12,1,40.12,40.12,loja
342,2024-04-24,276,4,3,1299.47,3898.41,loja
343,2024-10-24,73,12,5,341.9,1709.5,loja
344,2023-05-06,31,5,4,201.12,804.48,loja
345,2023-02-13,339,5,5,199.95,999.77,online
346,2024-04-13,261,12,1,52.15,52.15,loja
347,2023-03-07,257,8,3,1128.6,3385.8,marketplace
348,2024-06-16,202,12,1,130.15,130.15,loja
349,2024-11-10,121,9,1,176.71,176.71,online
350,2024-01-18,486,5,1,21.52,21.52,loja
351,2023-02-24,196,9,2,249.9,499.79,marketplace
352,2023-07-10,466,10,2,147.15,294.3,online
353,2023-10-18,351,13,4,76.53,306.12,loja
354,2023-07-25,75,11,2,200.59,401.18,marketplace
355,2023-03-11,430,15,2,35.53,71.06,loja
356,2024-07-10,227,12,1,156.72,156.72,online
357,2023-03-01,391,10,2,449.19,898.38,marketplace
358,2023-10-08,119,11,3,133.35,400.05,loja
359,2024-03-17,434,10,3,47.46,142.38,online
360,2024-08-05,84,4,3,899.85,2699.56,loja
361,2023-05-14,114,12,1,424.44,424.44,loja
362,2024-10-16,353,6,2,27.07,54.14,online
363,2023-10-24,423,7,2,549.4,1098.81,online
364,2023-09-04,232,8,4,207.73,830.92,loja
365,2023-09-13,265,13,2,250.75,501.5,loja
366,2024-05-15,86,7,2,200.34,400.68,online
367,2023-08-27,331,8,5,24.25,121.25,loja
368,2023-07-14,166,8,5,27.17,135.85,loja
369,2023-08-03,129,6,2,1299.59,2599.18,loja
370,2024-11-12,44,9,1,24.56,24.56,online
371,2024-09-13,23,13,5,209.86,1049.3,loja
372,2023-03-28,75,3,3,220.77,662.31,loja
373,2024-05-21,93,2,4,75.68,302.72,loja
374,2024-01-15,255,14,2,88.42,176.84,online
375,2024-04-07,302,11,5,449.01,2245.03,online
376,2023-04-18,143,10,4,253.75,1015.0,marketplace
377,2023-11-12,19,3,2,40.31,80.62,loja
378,2024-02-02,56,7,5,80.5,402.52,loja
379,2023-08-24,297,6,2,21.68,43.36,loja
380,2024-07-27,35,13,1,148.4,148.4,online
381,2023-02-23,441,5,5,60.19,300.96,online
382,2023-10-02,56,10,5,297.54,1487.7,marketplace
383,2024-07-20,435,6,1,946.09,946.09,online
384,2024-03-20,289,8,5,220.9,1104.48,marketplace
385,2023-12-10,100,1,4,1053.41,4213.64,loja
386,2023-12-28,107,13,1,819.96,819.96,marketplace
387,2024-09-26,327,4,4,549.05,2196.18,loja
388,2023-05-10,260,9,2,123.92,247.84,online
389,2024-07-24,292,10,1,47.36,47.36,loja
390,2024-11-16,470,8,2,3299.33,6598.66,loja
391,2024-09-11,237,13,2,218.74,437.48,online
392,2024-09-18,10,4,1,51.21,51.21,marketplace
393,2024-02-05,144,14,3,449.92,1349.75,loja
394,2023-10-20,200,3,3,351.42,1054.26,marketplace
395,2024-12-28,162,12,1,66.86,66.86,loja
396,2023-06-15,425,5,3,549.09,1647.26,loja
397,2024-01-25,104,15,5,51.48,257.4,loja
398,2024-09-05,98,6,4,30.7,122.8,online
399,2023-02-27,481,9,5,200.68,1003.38,loja
400,2024-12-28,268,2,2,33.49,66.98,loja
401,2023-06-15,456,1,3,23.43,70.29,loja
402,2024-01-19,389,5,5,449.66,2248.29,loja
403,2024-09-11,396,8,3,651.36,1954.08,loja
404,2023-01-20,287,9,3,158.44,475.32,loja
405,2024-05-05,483,12,2,449.35,898.7,online
406,2024-10-11,277,8,5,581.61,2908.05,loja
407,2023-02-13,28,2,2,71.73,143.46,online
408,2024-10-12,160,6,4,899.7,3598.82,loja
409,2024-10-05,48,14,5,58.85,294.25,online
410,2024-08-08,486,4,1,416.99,416.99,loja
411,2024-03-23,470,11,5,200.81,1004.06,online
412,2023-08-04,180,8,3,643.52,1930.56,online
413,2023-09-04,208,14,2,158.15,316.3,loja
414,2024-09-15,206,10,3,449.65,1348.95,online
415,2023-08-13,34,6,2,68.71,137.42,loja
416,2024-10-26,176,9,5,434.9,2174.5,loja
417,2024-02-19,306,8,2,26.57,53.14,online
418,2023-05-13,36,10,5,52.8,264.0,loja
419,2024-08-21,339,1,5,371.72,1858.6,loja
420,2023-03-22,77,8,2,80.04,160.08,marketplace
421,2024-04-07,349,15,3,345.64,1036.92,online
422,2024-07-23,469,6,3,178.79,536.37,loja
423,2024-03-28,151,1,5,130.51,652.56,online
424,2024-02-28,145,14,5,20.09,100.45,loja
425,2024-11-11,365,7,2,391.48,782.96,online
426,2023-08-05,97,9,4,549.55,2198.18,online
427,2024-11-05,69,1,3,44.99,134.97,loja
428,2024-11-14,500,3,1,654.06,654.06,loja
429,2024-12-20,477,7,2,26.71,53.41,marketplace
430,2024-07-12,116,3,2,671.54,1343.08,online
431,2023-12-17,138,7,5,83.52,417.6,marketplace
432,2023-10-16,361,6,5,249.03,1245.17,loja
433,2023-03-24,375,9,5,1250.06,6250.3,online
434,2023-04-16,323,12,4,53.56,214.24,loja
435,2023-06-18,399,1,5,449.58,2247.9,online
436,2024-07-12,492,13,4,408.7,1634.8,online
437,2024-12-26,289,5,3,51.05,153.15,loja
438,2023-11-10,415,12,4,220.07,880.28,marketplace
439,2023-09-03,436,13,1,107.21,107.21,online
440,2024-05-01,380,2,3,561.29,1683.87,marketplace
441,2023-11-15,190,13,2,98.59,197.18,loja
442,2024-03-26,271,14,3,320.63,961.89,loja
443,2023-08-25,212,13,3,58.6,175.8,online
444,2023-04-19,376,14,2,26.34,52.68,online
445,2023-01-06,238,7,1,21.56,21.56,online
446,2023-07-22,362,7,3,974.33,2922.99,online
447,2024-01-10,475,13,3,899.53,2698.59,online
448,2023-02-18,327,6,4,21.86,87.44,online
449,2024-06-09,137,13,5,70.86,354.3,loja
450,2024-11-24,124,12,3,26.48,79.45,marketplace
451,2023-06-18,6,11,2,164.75,329.5,loja
452,2023-11-15,180,4,1,65.2,65.2,online
453,2023-01-20,337,15,3,3299.03,9897.1,loja
454,2023-02-28,310,3,5,20.72,103.6,online
455,2023-12-06,130,5,5,434.91,2174.55,online
456,2024-07-23,463,11,1,26.35,26.35,online
457,2024-01-13,199,6,3,706.26,2118.78,loja
458,2024-02-16,476,4,3,35.85,107.55,marketplace
459,2023-03-18,394,7,4,899.65,3598.58,loja
460,2024-12-09,53,1,5,20.63,103.15,loja
461,2024-01-16,77,11,1,165.44,165.44,loja
462,2023-12-11,464,7,1,26.29,26.29,marketplace
463,2024-08-14,207,14,1,323.56,323.56,loja
464,2024-02-19,275,15,5,30.84,154.2,online
465,2023-11-21,47,6,3,26.2,78.61,marketplace
466,2024-11-07,91,9,3,53.56,160.68,loja
467,2024-02-21,353,6,4,21.13,84.52,online
468,2023-03-02,99,1,1,98.63,98.63,marketplace
469,2024-08-18,495,14,2,517.23,1034.46,online
470,2024-12-02,208,2,1,57.29,57.29,loja
471,2023-12-19,120,15,5,1299.94,6499.7,loja
472,2023-08-20,24,4,1,72.25,72.25,loja
473,2024-02-15,313,3,1,576.11,576.11,marketplace
474,2023-08-20,410,10,1,80.72,80.72,loja
475,2024-12-22,206,6,1,106.93,106.93,loja
476,2023-01-19,89,6,5,78.91,394.55,loja
477,2024-03-23,190,9,1,200.04,200.04,loja
478,2023-03-04,406,14,4,3055.29,12221.16,marketplace
479,2024-02-01,4,3,4,87.68,350.72,loja
480,2024-12-05,106,3,5,98.28,491.42,online
481,2023-10-23,20,10,5,546.99,2734.95,loja
482,2024-06-14,3,9,4,209.96,839.84,loja
483,2023-10-12,442,13,2,60.89,121.77,marketplace
484,2023-05-02,100,2,5,1542.16,7710.8,loja
485,2023-01-21,187,5,4,245.52,982.08,loja
486,2024-01-04,380,1,4,200.23,800.94,marketplace
487,2024-09-04,37,15,2,710.45,1420.9,loja
488,2024-04-24,347,15,4,135.89,543.56,online
489,2023-02-08,378,7,2,449.11,898.22,loja
490,2024-10-16,28,15,4,37.21,148.84,online
491,2024-03-13,192,3,2,3062.54,6125.08,online
492,2024-04-11,66,1,2,26.26,52.52,marketplace
493,2024-08-14,88,13,1,44.56,44.56,online
494,2023-11-20,464,3,2,43.02,86.04,marketplace
495,2024-09-16,442,4,5,80.13,400.65,marketplace
496,2023-12-14,377,14,4,47.72,190.88,loja
497,2023-10-05,468,10,2,119.44,238.88,loja
498,2024-12-25,259,1,4,129.94,519.76,online
499,2023-08-16,124,2,5,273.53,1367.65,marketplace
500,2023-03-12,152,4,1,290.03,290.03,loja
501,2023-12-15,440,10,1,1299.67,1299.67,marketplace
502,2023-12-13,95,13,1,613.15,613.15,online
503,2023-07-23,171,9,4,253.73,1014.92,loja
504,2023-11-03,318,15,3,549.75,1649.26,online
505,2024-01-04,197,6,1,425.54,425.54,online
506,2023-11-18,361,2,5,60.18,300.9,marketplace
507,2023-09-04,333,8,2,899.98,1799.96,marketplace
508,2023-06-12,460,5,2,339.61,679.22,marketplace
509,2024-06-15,249,9,4,29.8,119.2,marketplace
510,2024-08-20,189,13,1,1299.71,1299.71,loja
511,2023-02-13,460,3,2,88.95,177.9,online
512,2023-12-05,255,3,1,26.57,26.57,loja
513,2024-11-18,478,3,5,25.92,129.61,online
514,2023-05-07,33,1,3,254.8,764.4,loja
515,2024-11-21,403,6,5,21.98,109.9,online
516,2024-08-10,291,3,5,26.6,132.98,online
517,2024-06-10,395,14,2,131.54,263.08,loja
518,2023-10-06,365,9,2,85.12,170.24,online
519,2023-03-08,60,1,2,899.84,1799.68,online
520,2024-03-07,288,12,5,407.54,2037.7,loja
521,2024-09-06,274,5,3,53.88,161.64,loja
522,2023-08-11,80,1,1,549.93,549.93,marketplace
523,2024-08-10,497,13,5,168.22,841.1,marketplace
524,2024-06-23,58,12,2,262.48,524.96,online
525,2023-05-01,206,10,1,899.68,899.68,loja
